PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Hakeem Olajuwon,HOU,34,78,54,24,36.5,23.2,9.3,18.3,51,0.1,0.2,31.3,4.5,5.7,78.7,2.2,7,9.2,3,3.6,1.5,2.2,3.2,46.3,28,1,4.9
Steve Kerr,CHI,31,82,69,13,22.7,8.1,3,5.7,53.3,1.3,2.9,46.4,0.7,0.8,80.6,0.4,1.2,1.6,2.1,0.5,0.8,0,1.2,15.2,0,0,4.9
Sam Perkins,SEA,36,81,57,24,24.4,11,3.6,8.2,43.9,1.5,3.8,39.5,2.3,2.8,81.7,0.9,2.8,3.7,1.3,1,0.9,0.6,1.7,20.7,0,0,4.8
Steven Smith,ATL,28,72,50,22,39.2,20.1,6.8,15.9,42.9,1.8,5.4,33.5,4.6,5.5,84.7,1.3,2.1,3.3,4.2,2.4,0.9,0.3,2.4,31.5,2,0,4.8
Voshon Lenard,MIA,24,73,53,20,28.9,12.3,4.3,9.4,45.9,2.5,6.1,41.4,1.2,1.4,81.9,0.5,2.5,3,2.2,1.5,0.7,0.2,2.3,20.5,0,0,4.6
Mario Elie,HOU,33,78,54,24,34.5,11.7,3.7,7.5,49.7,1.5,3.7,42,2.7,3,89.6,0.8,2.2,3,4,1.7,1.2,0.2,2.6,23.5,2,0,4.4
P.J. Brown,MIA,27,80,59,21,32.4,9.5,3.8,8.2,45.7,0,0,0,2,2.8,73.2,3,5.4,8.4,1.2,1.4,1.1,1.2,3.5,26.7,23,0,4.3
Kenny Anderson,POR,26,82,49,33,37.6,17.5,5.9,13.9,42.7,1.6,4.5,36.1,4.1,5.3,76.8,1.1,3.3,4.4,7.1,2.4,2,0.2,2.7,37.6,13,0,4.2
Joe Dumars,DET,34,79,53,26,37,14.7,4.9,11.1,44,2.1,4.9,43.2,2.8,3.3,86.4,0.5,1.9,2.4,4,1.6,0.7,0,1.2,24.2,0,0,4.1
Patrick Ewing,NYK,34,78,54,24,37,22.4,8.4,17.2,48.8,0,0.1,22.2,5.6,7.5,75.4,2.2,8.4,10.7,2,3.4,0.9,2.4,3.2,44.8,47,0,4
