PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
JJ Redick,PHI,34,10,5,5,34.2,18.2,6,13.5,44.4,2.6,7.5,34.7,3.6,4.2,85.7,0.3,1.2,1.5,2.6,1.1,0.8,0.1,2.1,25.5,0,0,5.1
Jaylen Brown,BOS,21,18,10,8,32.4,18,6.9,14.8,46.6,2.4,6.2,39.3,1.8,2.8,64,0.9,3.9,4.8,1.4,1.3,0.8,0.6,3.2,28.7,0,0,1.2
Kyle Lowry,TOR,32,10,4,6,36.1,17.4,6,11.8,50.8,2.8,6.3,44.4,2.6,3.2,81.3,0.2,4.1,4.3,8.5,3.1,1.5,0,3.3,36.7,3,0,-1.5
Al-Farouq Aminu,POR,27,4,0,4,32.7,17.3,6.8,13,51.9,3.3,7.5,43.3,0.5,0.5,100,3,6,9,1.3,1.5,1,0.5,2,32.9,1,0,-11
Dario Saric,PHI,24,10,5,5,32.8,17.2,5.9,14,42.1,2,5.2,38.5,3.4,4,85,3.2,4.1,7.3,3.5,1.5,1,0.4,2.8,33.9,1,0,-2.2
Dwyane Wade,MIA,36,5,1,4,25.5,16.6,6.2,14,44.3,0,0.8,0,4.2,5.2,80.8,0.6,3.6,4.2,3.6,2.2,1.4,0.2,2.2,29.6,0,0,1
Terry Rozier,BOS,24,19,11,8,36.6,16.5,5.7,14,40.6,2.7,7.7,34.7,2.4,2.9,82.1,0.4,4.8,5.3,5.7,1.2,1.3,0.3,2,35,1,0,1.1
Ben Simmons,PHI,21,10,5,5,36.9,16.3,6.1,12.5,48.8,0,0.1,0,4.1,5.8,70.7,1.6,7.8,9.4,7.7,4.4,1.7,0.8,3.4,42.2,5,1,-2.1
Andrew Wiggins,MIN,23,5,1,4,32.8,15.8,6,13.6,44.1,1.4,4.2,33.3,2.4,4,60,1,4.2,5.2,2,1.8,0.4,0.4,2.8,25.6,0,0,-11.2
Jimmy Butler,MIN,28,5,1,4,34.1,15.8,5.6,12.6,44.4,1.6,3.4,47.1,3,3.6,83.3,0.6,5.4,6,4,1,0.8,0.2,1.8,31,0,0,-2.4
