PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Alonzo Mourning,MIA,27,17,8,9,37.1,17.8,6.3,12.8,49.1,0.2,0.5,37.5,5.1,9.1,55.5,2.6,7.6,10.2,1.1,4.1,0.6,2.7,4.3,37.6,7,0,2.6
Larry Johnson,NYK,28,9,6,3,32.6,13.8,4.8,8.6,55.8,0.7,1.9,35.3,3.6,4.2,84.2,1.2,2.8,4,2.6,1.7,0.8,0.1,3,23.4,0,0,2.6
Brian Evans,ORL,23,2,0,2,3.5,1,0.5,0.5,100,0,0,0,0,0,0,0,0,0,1,0,0.5,0,0,4,0,0,2.5
Lorenzo Williams,WAS,27,2,0,2,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,2.5
Grant Long,DET,31,5,2,3,17.5,5,1.6,3.6,44.4,0,0.4,0,1.8,2.2,81.8,0.8,1.4,2.2,0.6,0,0.8,0,2.2,10.9,0,0,2.4
John Stockton,UTA,35,20,13,7,36.9,16.1,5.7,10.9,52.1,1,2.5,38,3.9,4.5,85.6,0.9,3,3.9,9.6,3.1,1.7,0.3,2.6,37.7,11,0,2.4
Allan Houston,NYK,26,9,6,3,40,19.2,6.4,14.8,43.6,2.9,5.8,50,3.4,3.9,88.6,0.3,2.2,2.6,2.3,2.7,0.7,0.3,1.6,26.1,0,0,2.3
Eric Snow,SEA,24,8,4,4,6,1.6,0.6,1.4,45.5,0.3,0.5,50,0.1,0.3,50,0,0.3,0.3,1.5,0,0.5,0,0.9,5.7,0,0,2.3
Aaron McKie,DET,24,5,2,3,19.3,3,1.4,4,35,0.2,1,20,0,0,0,0.2,1.8,2,2,0.6,1.2,0.4,2.4,12.6,0,0,2.2
Derek Fisher,LAL,22,6,3,3,5.7,1.3,0.5,1.8,27.3,0,0.8,0,0.3,0.5,66.7,0,0.5,0.5,1,1,0.2,0,0.7,2.9,0,0,2.2
Tim Hardaway,MIA,30,17,8,9,41.3,18.7,6.1,16.9,35.9,2.5,7.9,31.3,4.1,5.2,79.5,0.8,3.3,4.1,7,3.1,1.6,0.1,2.2,35.9,3,0,2
Shawn Kemp,SEA,27,12,6,6,36.8,21.6,7.1,14.6,48.6,0.2,0.8,20,7.3,8.8,82.9,4.3,8,12.3,3,3.9,1.2,1.3,4.6,44.5,11,0,1.9
P.J. Brown,MIA,27,15,6,9,29.9,8.1,2.8,6.9,40.8,0,0,0,2.5,3.5,71.7,3.2,5.4,8.6,0.7,1.1,0.6,1.3,2.7,24.2,4,0,1.9
Luc Longley,CHI,28,19,15,4,22.8,6.5,3,5.5,54.8,0,0,0,0.5,1.4,38.5,2.1,2.4,4.4,1.8,1.5,0.4,0.8,3.4,16.8,0,0,1.8
Dontonio Wingfield,POR,23,3,1,2,5.1,2.7,0.7,0.7,100,0,0,0,1.3,1.3,100,0,0.7,0.7,0.3,0.7,0.3,0,1,4.3,0,0,1.7
Vlade Divac,CHH,29,3,0,3,38.6,18,7,15.3,45.7,0,1,0,4,5,80,4.3,4.3,8.7,3.3,2,1,2,3.7,40.4,1,0,1.7
