PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Eddie Jones,LAL,25,9,4,5,31.6,11.2,3.7,8,45.8,1,2.7,37.5,2.9,3.9,74.3,0.9,2.6,3.4,3.2,1.4,1,0.4,2.7,23.1,0,0,-5.1
Isaiah Rider,POR,26,4,1,3,40.2,13.3,4,10.8,37.2,1.5,4,37.5,3.8,4.3,88.2,0.3,1.8,2,4.3,3,0.8,0,2.8,21.3,0,0,-5.3
Steve Nash,PHX,23,4,1,3,3.7,1.3,0.5,2.3,22.2,0.3,1,25,0,0,0,0.3,0,0.3,0.3,0.5,0.3,0.3,1.3,2.9,0,0,-5.3
Anfernee Hardaway,ORL,25,5,2,3,44.4,31,10.4,22.2,46.8,2.2,6,36.7,8,10.8,74.1,1.4,4.6,6,3.4,1.8,2.4,1.4,2.8,52.9,1,0,-5.4
Lindsey Hunter,DET,26,5,2,3,40.2,15,5.8,13.2,43.9,2.4,5.8,41.4,1,1.4,71.4,0.8,2.8,3.6,1.2,0.2,1.2,0.2,1.8,25.1,0,0,-5.6
Harvey Grant,WAS,31,3,0,3,9.4,0,0,1,0,0,0.3,0,0,0,0,0,1.3,1.3,0,0,0,0.7,1.7,3.6,0,0,-5.7
Jon Barry,ATL,27,2,1,1,4.2,0,0,1.5,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6
Stojko Vrankovic,MIN,33,1,0,1,5.8,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1.2,0,0,-6
Dean Garrett,MIN,30,3,0,3,39,12.7,5,9.7,51.7,0,0,0,2.7,3.3,80,6.3,5.3,11.7,1.3,0.3,0.7,1,3.7,33.3,1,0,-6.3
Gheorghe Muresan,WAS,26,3,0,3,23.2,5,1.3,3,44.4,0,0,0,2.3,2.7,87.5,0.7,5.3,6,0,3.7,0,1.3,2,12.5,0,0,-6.3
Loren Meyer,PHX,24,3,1,2,4.3,0,0,1.3,0,0,0.3,0,0,0,0,0.7,1.3,2,0.3,1,0,0.7,0,3.9,0,0,-6.3
Rod Strickland,WAS,30,3,0,3,41.5,19.7,7.3,17.3,42.3,0.3,0.7,50,4.7,6.3,73.7,1.7,4.3,6,8.3,3.7,1,0,2.7,38.7,1,0,-6.7
Kenny Anderson,POR,26,4,1,3,42.3,17,5.5,11.5,47.8,1.3,4.8,26.3,4.8,5,95,0.5,3.8,4.3,4.8,2.8,1.8,0.3,2.5,32.5,0,0,-6.8
Anthony Mason,CHH,30,3,0,3,43.8,13,5.3,12.7,42.1,0,0,0,2.3,4.3,53.8,2.7,9.3,12,3,3,0.3,0.3,2,30.9,3,0,-7
Clifford Robinson,POR,30,4,1,3,40.1,12,4.3,11.8,36.2,0.8,4,18.8,2.8,4,68.8,3,3.8,6.8,3,2.5,0.5,1,3.3,26.6,1,0,-7
Juwan Howard,WAS,24,3,0,3,42.9,18.7,6.7,14.7,45.5,0,0,0,5.3,6,88.9,3.3,2.7,6,1.7,1,0.7,0.7,3,31.4,0,0,-7
Rex Chapman,PHX,29,5,2,3,38.3,24.2,8.2,16.6,49.4,4.4,9.6,45.8,3.4,5,68,0.4,2.8,3.2,2.6,3,0.4,0,2.8,30.1,0,0,-7
Hot Rod Williams,PHX,34,5,2,3,20.7,4,1.6,3,53.3,0,0,0,0.8,2,40,2,2.6,4.6,0.6,1,0.4,1.6,2.4,15.4,0,0,-7.4
Calbert Cheaney,WAS,25,3,0,3,40.2,15,6,13.3,45,0,0.7,0,3,4,75,2,1.7,3.7,1.3,1.7,1,0.7,3.3,24.7,0,0,-8
Darrick Martin,LAC,26,3,0,3,25.6,11,3.7,8.3,44,1.7,3,55.6,2,3,66.7,0.3,0.3,0.7,4.3,0.7,0,0,3,17.6,0,0,-8
Dennis Scott,ORL,28,5,2,3,18.7,3,1.2,4.6,26.1,0.6,2.2,27.3,0,0,0,0.4,1.4,1.8,1,0.4,0.4,0,1.6,7.5,0,0,-8
Otis Thorpe,DET,34,5,2,3,30.2,9.8,4.2,8.2,51.2,0,0,0,1.4,1.8,77.8,2.4,4,6.4,0.8,1.8,0.4,0,4.2,18.1,0,0,-8.2
Donald Royal,CHH,31,1,0,1,4.4,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,2.4,0,0,-9
Tony Delk,CHH,23,3,0,3,28.1,10.3,4.3,10.3,41.9,1.7,4.3,38.5,0,0,0,1.7,1.7,3.3,2,0.7,0.7,0,3.3,18.7,0,0,-9
Jason Kidd,PHX,24,5,2,3,41.5,12,4.2,10.6,39.6,1.6,4.4,36.4,2,3.8,52.6,0.8,5.2,6,9.8,2.6,2.2,0.4,2.2,39.1,2,0,-9.2
Arvydas Sabonis,POR,32,4,1,3,26.8,11.3,4.5,10.5,42.9,0.5,2,25,1.8,2,87.5,2,4.5,6.5,2.3,2.3,0.8,0.8,4.8,24.7,1,0,-9.3
Wayman Tisdale,PHX,33,4,2,2,9.3,3,1.5,3.8,40,0,0,0,0,0,0,0.5,1.3,1.8,0,0.3,0,0,1.3,4.9,0,0,-9.3
Lamond Murray,LAC,24,3,0,3,21.7,7,2,6.7,30,0.7,2.7,25,2.3,2.3,100,0.7,3,3.7,1,1.3,0.7,1,2.3,16.6,0,0,-9.3
Brian Shaw,ORL,31,5,2,3,16.2,2,0.6,3.8,15.8,0.4,1.2,33.3,0.4,0.8,50,0.2,1.6,1.8,1.6,1.6,0.2,0.2,1,6.2,0,0,-9.4
Kevin Johnson,PHX,31,5,2,3,41.7,16.8,5.2,17.6,29.5,0.6,4.4,13.6,5.8,6.6,87.9,1.6,2.8,4.4,6,3.6,2.6,0,3,35.3,1,0,-9.6
Dell Curry,CHH,33,3,0,3,16.9,4.7,1.7,5.7,29.4,0.3,1.3,25,1,1,100,0.3,0,0.3,1.7,0.3,1.3,0,1.7,11.2,0,0,-10.3
Loy Vaught,LAC,29,3,0,3,29.7,15,6.3,10.3,61.3,0.3,1,33.3,2,3,66.7,1.7,7.3,9,0.7,2,1.3,0.7,4,30.8,1,0,-11
Doug West,MIN,30,3,0,3,29.3,11,4,7.3,54.5,0,0.7,0,3,3,100,0,1.3,1.3,2,0.3,0.7,0.3,3.7,18.3,0,0,-11.3
Matt Geiger,CHH,27,3,0,3,10.4,2,0.7,1,66.7,0,0,0,0.7,0.7,100,1.3,1.3,2.7,0.7,0.7,0.7,0.3,1.7,8.5,0,0,-11.7
Kevin Garnett,MIN,21,3,0,3,41.5,17.3,8,17,47.1,0.3,0.3,100,1,1,100,4.7,4.7,9.3,3.7,1.3,1.3,1,2,39.7,1,0,-12
Derek Strong,ORL,29,5,2,3,38.9,12.2,4.2,8,52.5,0,0.2,0,3.8,5,76,4,6,10,0.8,2.8,0.4,0.4,4,25,3,0,-13
Lorenzen Wright,LAC,21,3,0,3,30.7,10.3,4.3,10.7,40.6,0,0,0,1.7,1.7,100,2.3,5,7.3,0.7,0.3,1,0.7,2,24.8,0,0,-13
Tom Gugliotta,MIN,27,3,0,3,40.4,18.3,7.7,17.3,44.2,1,1.3,75,2,3.3,60,0.7,4.7,5.3,4.3,2,2.3,0.7,4.3,38.2,1,0,-13.3
Stephon Marbury,MIN,20,3,0,3,39.2,21.3,8.7,21.7,40,2,6.7,30,2,3.3,60,0.7,3.3,4,7.7,3,0.7,0,3,36.6,1,0,-13.7
Malik Sealy,LAC,27,3,0,3,26.6,12,4,8.3,48,0.3,1.7,20,3.7,5,73.3,0.3,0.7,1,1.7,1.7,0,0,3.3,14,0,0,-16
Rony Seikaly,ORL,32,3,1,2,28.9,6.3,2.3,7.3,31.8,0,0,0,1.7,2.3,71.4,1.7,3.7,5.3,0,1.3,0.3,1,3.3,15.4,0,0,-18
